policy,candidate_id,pipeline,position,rewrite_kind,left,right,context_id,optimizer_score,contract_admitted,eligible,selected,oracle_safe,decision_correct,reasons,contract_sha256,evidence_class,oracle_evidence
fail_closed,classification_a:0:resize->fixed_blur,classification_a,0,adjacent_swap,resize,fixed_blur,h3/float/float,1.0,False,False,False,False,True,missing_contract,bd6a4b12aa18c6d3d1f5ce596e159956ef0ea8cafd2adcd50c3ebda59fcabd87,safety_lower_bound,trial=1000:value_or_signature_mismatch
fail_closed,classification_a:1:fixed_blur->hflip,classification_a,1,adjacent_swap,fixed_blur,hflip,h3/float/float,1.0,False,False,False,True,False,missing_contract,bd6a4b12aa18c6d3d1f5ce596e159956ef0ea8cafd2adcd50c3ebda59fcabd87,safety_lower_bound,no_counterexample_in_48_trials
fail_closed,classification_a:2:hflip->color_jitter,classification_a,2,adjacent_swap,hflip,color_jitter,h3/float/float,1.0,False,False,False,True,False,missing_contract,bd6a4b12aa18c6d3d1f5ce596e159956ef0ea8cafd2adcd50c3ebda59fcabd87,safety_lower_bound,no_counterexample_in_48_trials
fail_closed,classification_a:3:color_jitter->normalize,classification_a,3,adjacent_swap,color_jitter,normalize,h3/float/float,1.0,False,False,False,False,True,missing_contract,bd6a4b12aa18c6d3d1f5ce596e159956ef0ea8cafd2adcd50c3ebda59fcabd87,safety_lower_bound,trial=1000:value_or_signature_mismatch
fail_closed,classification_b:0:pad->random_crop,classification_b,0,adjacent_swap,pad,random_crop,h3/float/float,1.0,False,False,False,False,True,missing_contract,bd6a4b12aa18c6d3d1f5ce596e159956ef0ea8cafd2adcd50c3ebda59fcabd87,safety_lower_bound,trial=1000:value_or_signature_mismatch
fail_closed,classification_b:1:random_crop->random_resized_crop,classification_b,1,adjacent_swap,random_crop,random_resized_crop,h3/float/float,1.0,False,False,False,False,True,missing_contract,bd6a4b12aa18c6d3d1f5ce596e159956ef0ea8cafd2adcd50c3ebda59fcabd87,safety_lower_bound,trial=1000:value_or_signature_mismatch
fail_closed,classification_b:2:random_resized_crop->vflip,classification_b,2,adjacent_swap,random_resized_crop,vflip,h3/float/float,1.0,False,False,False,False,True,missing_contract,bd6a4b12aa18c6d3d1f5ce596e159956ef0ea8cafd2adcd50c3ebda59fcabd87,safety_lower_bound,trial=1003:value_or_signature_mismatch
fail_closed,classification_b:3:vflip->random_solarize,classification_b,3,adjacent_swap,vflip,random_solarize,h3/float/float,1.0,False,False,False,True,False,missing_contract,bd6a4b12aa18c6d3d1f5ce596e159956ef0ea8cafd2adcd50c3ebda59fcabd87,safety_lower_bound,no_counterexample_in_48_trials
fail_closed,classification_b:4:random_solarize->normalize,classification_b,4,adjacent_swap,random_solarize,normalize,h3/float/float,1.0,False,False,False,False,True,missing_contract,bd6a4b12aa18c6d3d1f5ce596e159956ef0ea8cafd2adcd50c3ebda59fcabd87,safety_lower_bound,trial=1002:value_or_signature_mismatch
fail_closed,geometry:0:center_crop->resize,geometry,0,adjacent_swap,center_crop,resize,h3/float/float,1.0,False,False,False,False,True,missing_contract,bd6a4b12aa18c6d3d1f5ce596e159956ef0ea8cafd2adcd50c3ebda59fcabd87,safety_lower_bound,trial=1000:value_or_signature_mismatch
fail_closed,geometry:1:resize->random_rotation,geometry,1,adjacent_swap,resize,random_rotation,h3/float/float,1.0,False,False,False,False,True,missing_contract,bd6a4b12aa18c6d3d1f5ce596e159956ef0ea8cafd2adcd50c3ebda59fcabd87,safety_lower_bound,trial=1000:value_or_signature_mismatch
fail_closed,geometry:2:random_rotation->random_sharpness,geometry,2,adjacent_swap,random_rotation,random_sharpness,h3/float/float,1.0,False,False,False,False,True,missing_contract,bd6a4b12aa18c6d3d1f5ce596e159956ef0ea8cafd2adcd50c3ebda59fcabd87,safety_lower_bound,trial=1002:value_or_signature_mismatch
fail_closed,geometry:3:random_sharpness->variable_blur,geometry,3,adjacent_swap,random_sharpness,variable_blur,h3/float/float,1.0,False,False,False,False,True,missing_contract,bd6a4b12aa18c6d3d1f5ce596e159956ef0ea8cafd2adcd50c3ebda59fcabd87,safety_lower_bound,trial=1002:value_or_signature_mismatch
fail_closed,geometry:4:variable_blur->normalize,geometry,4,adjacent_swap,variable_blur,normalize,h3/float/float,1.0,False,False,False,True,False,missing_contract,bd6a4b12aa18c6d3d1f5ce596e159956ef0ea8cafd2adcd50c3ebda59fcabd87,safety_lower_bound,no_counterexample_in_48_trials
fail_closed,equivariant:0:identity->hflip,equivariant,0,adjacent_swap,identity,hflip,h3/float/float,1.0,False,False,False,True,False,missing_contract,bd6a4b12aa18c6d3d1f5ce596e159956ef0ea8cafd2adcd50c3ebda59fcabd87,safety_lower_bound,no_counterexample_in_48_trials
fail_closed,equivariant:1:hflip->vflip,equivariant,1,adjacent_swap,hflip,vflip,h3/float/float,1.0,False,False,False,True,False,missing_contract,bd6a4b12aa18c6d3d1f5ce596e159956ef0ea8cafd2adcd50c3ebda59fcabd87,safety_lower_bound,no_counterexample_in_48_trials
fail_closed,equivariant:2:vflip->random_grayscale,equivariant,2,adjacent_swap,vflip,random_grayscale,h3/float/float,1.0,False,False,False,True,False,missing_contract,bd6a4b12aa18c6d3d1f5ce596e159956ef0ea8cafd2adcd50c3ebda59fcabd87,safety_lower_bound,no_counterexample_in_48_trials
fail_closed,equivariant:3:random_grayscale->random_invert,equivariant,3,adjacent_swap,random_grayscale,random_invert,h3/float/float,1.0,False,False,False,False,True,missing_contract,bd6a4b12aa18c6d3d1f5ce596e159956ef0ea8cafd2adcd50c3ebda59fcabd87,safety_lower_bound,trial=1001:value_or_signature_mismatch
fail_closed,equivariant:4:random_invert->rgb,equivariant,4,adjacent_swap,random_invert,rgb,h3/float/float,1.0,False,False,False,True,False,missing_contract,bd6a4b12aa18c6d3d1f5ce596e159956ef0ea8cafd2adcd50c3ebda59fcabd87,safety_lower_bound,no_counterexample_in_48_trials
